year,county,county_code,region,sum_new_houses,sum_sales_price,avg_sales_price,med_sales_price,avg_sales_price_rank,med_sales_price_rank,census_geoid
2002,Camden,007,South,625,139860250,223776,195895,18,17,34007
2002,Cape May,009,South,1259,437510679,347506,279900,7,11,34009
2002,Cumberland,011,South,231,37228101,161161,155244,21,21,34011
2002,Essex,013,North,905,255629102,282463,180000,13,19,34013
2002,Gloucester,015,South,1672,396232677,236981,219771,17,15,34015
2002,Hudson,017,North,700,207785560,296837,303900,10,8,34017
2002,Hunterdon,019,Central,514,245244627,477130,441070,3,2,34019
2002,Mercer,021,Central,1189,350239215,294566,266990,12,12,34021
2002,Middlesex,023,Central,1784,631714993,354100,340969,6,6,34023
2002,Monmouth,025,Central,1911,886367170,463824,386160,5,4,34025
2002,Morris,027,North,1294,602215444,465391,368145,4,5,34027
2002,Ocean,029,Central,3256,908583141,279049,257210,15,13,34029
2002,Passaic,031,North,455,135425681,297639,282340,9,10,34031
2002,Salem,033,South,88,19085081,216876,192696,20,18,34033
2002,Somerset,035,Central,957,496089789,518380,405490,2,3,34035
2002,Sussex,037,North,700,239892861,342704,311332,8,7,34037
2002,Union,039,North,386,107438394,278338,165000,16,20,34039
2002,Warren,041,North,666,197181006,296068,284990,11,9,34041
2003,Atlantic,001,South,1653,409521944,247745,221900,18,17,34001
2003,Bergen,003,North,1000,550882419,550882,412400,2,3,34003
2003,Burlington,005,South,1954,594033537,304009,276690,15,14,34005
2003,Camden,007,South,668,149993929,224542,210191,19,19,34007
2003,Cape May,009,South,1332,542934691,407609,319900,7,10,34009
2003,Cumberland,011,South,270,48843085,180900,160270,21,21,34011
2003,Essex,013,North,891,256300962,287655,243500,16,16,34013
2003,Gloucester,015,South,1462,394545253,269867,260045,17,15,34015
2003,Hudson,017,North,846,264177138,312266,297220,13,11,34017
2003,Hunterdon,019,Central,448,257854414,575568,563308,1,1,34019
2003,Mercer,021,Central,984,306623564,311609,287040,14,13,34021
2003,Middlesex,023,Central,1665,704171546,422926,408151,6,5,34023
2003,Monmouth,025,Central,1850,925663961,500359,419233,4,2,34025
2003,Morris,027,North,1059,525373633,496104,409376,5,4,34027
2003,Ocean,029,Central,3076,965547774,313897,289000,12,12,34029
2003,Passaic,031,North,830,306580323,369374,336895,8,8,34031
2003,Salem,033,South,73,14983496,205253,175807,20,20,34033
2003,Somerset,035,Central,854,455925799,533871,389945,3,6,34035
2003,Sussex,037,North,540,197082478,364968,329915,9,9,34037
2003,Union,039,North,425,136059295,320140,220000,11,18,34039
2003,Warren,041,North,346,120932946,349517,343246,10,7,34041
2004,Atlantic,001,South,1806,545325894,301952.3222591362,255700,17,18,34001
2004,Bergen,003,North,911,643973788,706886.7047200878,556000,1,2,34003
2004,Burlington,005,South,1384,493109307,356292.8518786127,322162.5,13,13,34005
2004,Camden,007,South,1146,297019780,259179.5636998255,250673.5,19,19,34007
2004,Cape May,009,South,1931,928322219,480746.87674779905,375000,6,8,34009
2004,Cumberland,011,South,319,63488244,199022.70846394985,181777,21,21,34011
2004,Essex,013,North,1043,402009767,385436.01821668266,325000,10,12,34013
2004,Gloucester,015,South,1468,441521877,300764.22138964577,284870,18,15,34015
2004,Hudson,017,North,1373,518752829,377824.347414421,338430,12,10,34017
2004,Hunterdon,019,Central,434,276594967,637315.5921658986,630017.5,2,1,34019
2004,Mercer,021,Central,654,266609110,407659.1896024465,358712,9,9,34021
2004,Middlesex,023,Central,1773,803858804,453389.0603496898,428601,8,7,34023
2004,Monmouth,025,Central,1996,1096231797,549214.3271543087,457000,4,4,34025
2004,Morris,027,North,870,506604135,582303.6034482758,488302.5,3,3,34027
2004,Ocean,029,Central,3432,1205998625,351398.20075757575,320000,14,14,34029
2004,Passaic,031,North,615,284082968,461923.52520325204,455441,7,5,34031
2004,Salem,033,South,103,25340820,246027.3786407767,191680,20,20,34033
2004,Somerset,035,Central,1047,551866193,527092.8299904489,445648,5,6,34035
2004,Sussex,037,North,507,166971340,329332.0315581854,276700,16,16,34037
2004,Union,039,North,651,250638072,385004.71889400925,269500,11,17,34039
2004,Warren,041,North,381,129063916,338750.43569553806,335700,15,11,34041
2005,Atlantic,001,South,1622,585513682,360982.5413070284,293455.5,17,18,34001
2005,Bergen,003,North,1106,844300389,763381.9068716094,580000,1,2,34003
2005,Burlington,005,South,1315,545975020,415190.12927756656,360125,12,12,34005
2005,Camden,007,South,1051,322497430,306848.173168411,285640,19,19,34007
2005,Cape May,009,South,1841,1012192260,549805.6816947311,449900,5,5,34009
2005,Cumberland,011,South,375,94035528,250761.408,232000,21,21,34011
2005,Essex,013,North,997,435532611,436843.1404212638,365000,10,11,34013
2005,Gloucester,015,South,1777,577424596,324943.4980303883,312055,18,17,34015
2005,Hudson,017,North,1975,797073812,403581.6769620253,377274,13,10,34017
2005,Hunterdon,019,Central,349,226453994,648865.3123209169,644002,3,1,34019
2005,Mercer,021,Central,909,417567031,459369.6710671067,415900,8,7,34021
2005,Middlesex,023,Central,1916,933055290,486980.8402922756,445767.5,7,6,34023
2005,Monmouth,025,Central,1742,1119447405,642621.9316877152,524849.5,4,4,34025
2005,Morris,027,North,1011,672396581,665080.6933728982,564145,2,3,34027
2005,Ocean,029,Central,3326,1306773664,392896.47143716173,357900,15,13,34029
2005,Passaic,031,North,501,214799833,428742.18163672654,399000,11,9,34031
2005,Salem,033,South,185,55503278,300017.7189189189,254765,20,20,34033
2005,Somerset,035,Central,1075,545073884,507045.4734883721,400900,6,8,34035
2005,Sussex,037,North,483,194214622,402100.6666666667,350000,14,14,34037
2005,Union,039,North,686,301496876,439499.81924198254,334900,9,16,34039
2005,Warren,041,North,329,124199553,377506.24012158054,336990,16,15,34041
2006,Atlantic,001,South,1499,587777155,392112.8452301534,330721,16,17,34001
2006,Bergen,003,North,1172,914571204,780350.8566552901,578500,2,3,34003
2006,Burlington,005,South,1055,453035278,429417.3251184834,343875,15,15,34005
2006,Camden,007,South,816,299661077,367231.7120098039,337870,18,16,34007
2006,Cape May,009,South,1672,970493971,580438.9778708135,485000,6,5,34009
2006,Cumberland,011,South,407,119190434,292851.1891891892,287753,21,20,34011
2006,Essex,013,North,1075,498404880,463632.44651162793,364865,11,14,34013
2006,Gloucester,015,South,1510,529121907,350411.85894039733,317990,19,18,34015
2006,Hudson,017,North,1718,822902388,478988.58440046565,443704,10,7,34017
2006,Hunterdon,019,Central,253,184835216,730573.976284585,715000,3,1,34019
2006,Mercer,021,Central,871,421740209,484202.3065442021,424397,9,9,34021
2006,Middlesex,023,Central,2061,1049127832,509038.2493934983,457084,8,6,34023
2006,Monmouth,025,Central,1891,1246783646,659325.0375462718,541250,4,4,34025
2006,Morris,027,North,775,613987165,792241.5032258064,649000,1,2,34027
2006,Ocean,029,Central,2890,1252190327,433283.8501730104,395342,13,12,34029
2006,Passaic,031,North,687,297030037,432358.1324599709,398355,14,11,34031
2006,Salem,033,South,149,49221042,330342.56375838927,279860,20,21,34033
2006,Somerset,035,Central,720,450658220,625914.1944444445,442150,5,8,34035
2006,Sussex,037,North,579,259881274,448845.03281519865,400000,12,10,34037
2006,Union,039,North,619,322265500,520622.7786752827,395000,7,13,34039
2006,Warren,041,North,278,105438276,379274.3741007194,289272,17,19,34041
2007,Atlantic,001,South,1082,453348158,418990.90388170053,331211.5,16,17,34001
2007,Bergen,003,North,1274,1090197472,855728,610000,1,2,34003
2007,Burlington,005,South,681,319016414,468452.8839941263,422115,11,11,34005
2007,Camden,007,South,607,214523183,353415.45799011533,306524,18,18,34007
2007,Cape May,009,South,1187,708076018,596525.7101937658,500000,6,6,34009
2007,Cumberland,011,South,448,120389473,268726.50223214284,262500,21,20,34011
2007,Essex,013,North,987,518806490,525639.807497467,399000,9,14,34013
2007,Gloucester,015,South,1043,398648519,382213.3451581975,346715,17,16,34015
2007,Hudson,017,North,2365,1197657883,506409.2528541226,467000,10,7,34017
2007,Hunterdon,019,Central,204,140261624,687556.9803921569,682457.5,4,1,34019
2007,Mercer,021,Central,552,292618862,530106.6340579711,450000,8,8,34021
2007,Middlesex,023,Central,1661,742977428,447307.3016255268,408000,13,12,34023
2007,Monmouth,025,Central,1361,896814541,658937.943423953,528470,5,4,34025
2007,Morris,027,North,570,452353467,793602.5736842105,570133.5,2,3,34027
2007,Ocean,029,Central,1957,899757330,459763.58201328566,404714,12,13,34029
2007,Passaic,031,North,585,256467684,438406.29743589746,431523,14,9,34031
2007,Salem,033,South,88,30752522,349460.4772727273,298140,19,19,34033
2007,Somerset,035,Central,488,335698735,687907.243852459,510732,3,5,34035
2007,Sussex,037,North,475,204445737,430412.07789473684,382000,15,15,34037
2007,Union,039,North,557,312949864,561848.947935368,430000,7,10,34039
2007,Warren,041,North,225,71846712,319318.72,240930,20,21,34041
2008,Atlantic,001,South,743,307256410,413534.8721399731,305331,16,18,34001
2008,Bergen,003,North,840,675247771,803866.3940476191,603750,1,2,34003
2008,Burlington,005,South,574,252875367,440549.41986062715,401888,15,12,34005
2008,Camden,007,South,422,139003235,329391.55213270144,289995,19,19,34007
2008,Cape May,009,South,744,445699328,599058.2365591398,480625,6,7,34009
2008,Cumberland,011,South,292,75044418,257001.4315068493,246828,21,21,34011
2008,Essex,013,North,661,376691847,569881.7655068078,439000,9,9,34013
2008,Gloucester,015,South,841,286803275,341026.48632580263,319703,18,17,34015
2008,Hudson,017,North,2619,1506203748,575106.4329896907,530000,8,3,34017
2008,Hunterdon,019,Central,106,66497226,627332.320754717,605000,5,1,34019
2008,Mercer,021,Central,363,211277377,582031.3415977962,415506,7,11,34021
2008,Middlesex,023,Central,1075,481204673,447632.25395348837,434900,13,10,34023
2008,Monmouth,025,Central,967,655820287,678200.917269907,521250,3,5,34025
2008,Morris,027,North,547,394678222,721532.3985374771,484800,2,6,34027
2008,Ocean,029,Central,1512,672252732,444611.59523809527,389950,14,13,34029
2008,Passaic,031,North,386,157216848,407297.5336787565,379900,17,15,34031
2008,Salem,033,South,48,15589740,324786.25,260144,20,20,34033
2008,Somerset,035,Central,418,263396889,630136.0980861244,524464,4,4,34035
2008,Sussex,037,North,140,63450790,453219.9285714286,382750,11,14,34037
2008,Union,039,North,463,225052774,486075.1058315335,350000,10,16,34039
2008,Warren,041,North,80,36206811,452585.1375,474750,12,8,34041
2009,Atlantic,001,South,541,206677919,382029.4251386322,275900,16,16,34001
2009,Bergen,003,North,676,458254465,677891.2204142011,475000,1,3,34003
2009,Burlington,005,South,435,167839387,385837.6712643678,360190,15,14,34005
2009,Camden,007,South,287,84447003,294240.4285714286,247010,19,18,34007
2009,Cape May,009,South,491,274552392,559169.8411405295,421600,6,8,34009
2009,Cumberland,011,South,214,49827729,232839.8551401869,226773.5,21,21,34011
2009,Essex,013,North,427,258990516,606535.1662763467,410000,5,10,34013
2009,Gloucester,015,South,644,193096701,299839.597826087,265994,18,17,34015
2009,Hudson,017,North,931,504311291,541687.7454350161,445401,7,4,34017
2009,Hunterdon,019,Central,72,44502948,618096.5,575000,4,1,34019
2009,Mercer,021,Central,351,139975177,398789.6780626781,230548,14,20,34021
2009,Middlesex,023,Central,721,299784499,415789.87378640776,380000,12,12,34023
2009,Monmouth,025,Central,873,472015121,540681.6964490263,432873,8,6,34025
2009,Morris,027,North,326,214233559,657158.1564417178,433906,3,5,34027
2009,Ocean,029,Central,1199,515233538,429719.3811509591,375000,11,13,34029
2009,Passaic,031,North,208,78760526,378656.375,327000,17,15,34031
2009,Salem,033,South,29,7457285,257147.75862068965,243338,20,19,34033
2009,Somerset,035,Central,328,216988146,661549.2256097561,548197,2,2,34035
2009,Sussex,037,North,89,40905762,459615.30337078654,410000,10,9,34037
2009,Union,039,North,248,128352920,517552.0967741936,380000,9,11,34039
2009,Warren,041,North,71,28895837,406983.61971830984,425000,13,7,34041
2010,Atlantic,001,South,405,142457556,351747.05185185187,261115,15,18,34001
2010,Bergen,003,North,504,387298600,768449.6031746032,571250,1,1,34003
2010,Burlington,005,South,374,155726788,416381.7860962567,419898.5,11,11,34005
2010,Camden,007,South,242,66911057,276491.97107438016,240000,20,20,34007
2010,Cape May,009,South,461,230002434,498920.6811279826,423500,9,10,34009
2010,Cumberland,011,South,183,43239071,236279.07650273223,219000,21,21,34011
2010,Essex,013,North,274,176749546,645071.3357664234,524975,3,4,34013
2010,Gloucester,015,South,533,161576785,303145.93808630394,290027,18,16,34015
2010,Hudson,017,North,1029,538417193,523243.14188532555,457000,8,6,34017
2010,Hunterdon,019,Central,67,40912254,610630.6567164179,540805,4,3,34019
2010,Mercer,021,Central,323,123957498,383769.3436532508,273000,14,17,34021
2010,Middlesex,023,Central,805,358711433,445604.2645962733,425000,10,9,34023
2010,Monmouth,025,Central,852,458489794,538133.5610328638,429920.5,7,8,34025
2010,Morris,027,North,406,278182330,685178.1527093597,447499.5,2,7,34027
2010,Ocean,029,Central,1213,496460042,409282.80461665295,372330,12,13,34029
2010,Passaic,031,North,142,57619441,405770.71126760566,360390,13,14,34031
2010,Salem,033,South,28,8016068,286288.14285714284,550000,19,2,34033
2010,Somerset,035,Central,399,227363444,569833.1929824562,518445,6,5,34035
2010,Sussex,037,North,155,49990018,322516.24516129034,260000,17,19,34037
2010,Union,039,North,195,116582776,597860.3897435898,410000,5,12,34039
2010,Warren,041,North,122,41220404,337872.1639344262,321362.5,16,15,34041
2011,Atlantic,001,South,320,116824526,365076.64375,267357.5,15,18,34001
2011,Bergen,003,North,464,356948541,769285.6487068966,600000,1,2,34003
2011,Burlington,005,South,220,95525638,434207.44545454544,386087.5,12,10,34005
2011,Camden,007,South,173,44451531,256945.26589595375,223700,20,20,34007
2011,Cape May,009,South,471,230685566,489778.2717622081,415000,7,9,34009
2011,Cumberland,011,South,119,22620595,190089.03361344538,184129,21,21,34011
2011,Essex,013,North,206,146040102,708932.5339805825,642396,2,1,34013
2011,Gloucester,015,South,444,125909692,283580.3873873874,277600.5,18,17,34015
2011,Hudson,017,North,604,344727437,570740.7897350993,525750,5,4,34017
2011,Hunterdon,019,Central,61,29459206,482937.8032786885,467500,9,6,34019
2011,Mercer,021,Central,258,113106912,438398.88372093026,337371.5,11,13,34021
2011,Middlesex,023,Central,682,317044083,464874.0219941349,449843.5,10,8,34023
2011,Monmouth,025,Central,663,354705451,535000.6802413273,458111,6,7,34025
2011,Morris,027,North,287,195227076,680233.7142857143,501086,3,5,34027
2011,Ocean,029,Central,957,401732650,419783.3333333333,364000,13,11,34029
2011,Passaic,031,North,189,71035257,375847.92063492065,339950,14,12,34031
2011,Salem,033,South,28,7484219,267293.53571428574,262090,19,19,34033
2011,Somerset,035,Central,329,199849634,607445.6960486323,549900,4,3,34035
2011,Sussex,037,North,113,34259072,303177.62831858406,284040,16,16,34037
2011,Union,039,North,178,87160700,489666.8539325843,325350,8,14,34039
2011,Warren,041,North,73,21542592,295104,292940,17,15,34041
2012,Atlantic,001,South,375,138966225,370576.6,260928,15,18,34001
2012,Bergen,003,North,491,347163609,707054.1934826884,583306,2,2,34003
2012,Burlington,005,South,303,111448015,367815.2310231023,353313,16,12,34005
2012,Camden,007,South,206,51043944,247786.1359223301,239545,20,20,34007
2012,Cape May,009,South,498,277954413,558141.391566265,489275,9,7,34009
2012,Cumberland,011,South,104,19696267,189387.1826923077,183931.5,21,21,34011
2012,Essex,013,North,227,173153460,762790.5726872247,629000,1,1,34013
2012,Gloucester,015,South,433,125296469,289368.28868360276,276358,18,16,34015
2012,Hudson,017,North,587,349913316,596104.4565587734,538500,5,4,34017
2012,Hunterdon,019,Central,48,26843898,559247.875,499950,8,5,34019
2012,Mercer,021,Central,230,99066238,430722.7739130435,254745,13,19,34021
2012,Middlesex,023,Central,794,360382174,453881.8312342569,443477.5,11,9,34023
2012,Monmouth,025,Central,597,345631518,578947.2663316583,449000,6,8,34025
2012,Morris,027,North,368,235166311,639038.8885869565,417475,3,10,34027
2012,Ocean,029,Central,1004,393292639,391725.7360557769,350000,14,13,34029
2012,Passaic,031,North,153,66262222,433086.4183006536,380145,12,11,34031
2012,Salem,033,South,42,12125122,288693.38095238095,294516,19,15,34033
2012,Somerset,035,Central,377,212246548,562988.1909814323,499219,7,6,34035
2012,Sussex,037,North,68,30981211,455606.04411764705,335000,10,14,34037
2012,Union,039,North,198,126428610,638528.3333333334,539500,4,3,34039
2012,Warren,041,North,62,18748921,302401.9516129032,267450,17,17,34041
2013,Atlantic,001,South,320,155231682,485099.00625,286320,10,16,34001
2013,Bergen,003,North,663,501464687,756356.9939668175,650000,1,1,34003
2013,Burlington,005,South,387,143733293,371403.85788113694,346296,16,14,34005
2013,Camden,007,South,251,74167070,295486.3346613546,260162,18,20,34007
2013,Cape May,009,South,494,268966132,544465.8542510121,460000,7,6,34009
2013,Cumberland,011,South,95,19097960,201031.15789473685,189900,21,21,34011
2013,Essex,013,North,257,191982139,747012.214007782,584239,2,3,34013
2013,Gloucester,015,South,486,143250892,294754.92181069957,280000,19,17,34015
2013,Hudson,017,North,368,230007918,625021.5163043478,540000,5,4,34017
2013,Hunterdon,019,Central,84,39127706,465806.0238095238,362000,12,12,34019
2013,Mercer,021,Central,227,105823553,466183.0528634361,340000,11,15,34021
2013,Middlesex,023,Central,788,357903349,454192.06725888327,443742.5,13,7,34023
2013,Monmouth,025,Central,821,445844083,543050.0401948843,425000,8,10,34025
2013,Morris,027,North,492,315245718,640743.3292682926,432500,3,9,34027
2013,Ocean,029,Central,1139,431100650,378490.47410008777,350000,15,13,34029
2013,Passaic,031,North,193,73996502,383401.5647668394,374990,14,11,34031
2013,Salem,033,South,21,5539860,263802.85714285716,263845,20,18,34033
2013,Somerset,035,Central,375,238598078,636261.5413333334,585000,4,2,34035
2013,Sussex,037,North,58,30781653,530718.1551724138,486062.5,9,5,34037
2013,Union,039,North,258,153799542,596122.2558139535,439200,6,8,34039
2013,Warren,041,North,84,24833271,295634.1785714286,261527.5,17,19,34041
2014,Atlantic,001,South,319,149872808,469820.7147335423,299900,12,17,34001
2014,Bergen,003,North,553,426229655,770758.869801085,599900,2,3,34003
2014,Burlington,005,South,414,157802209,381164.7560386473,356989,15,13,34005
2014,Camden,007,South,285,84463417,296362.86666666664,263120,19,19,34007
2014,Cape May,009,South,570,325830171,571631.8789473685,469500,9,9,34009
2014,Cumberland,011,South,77,16524578,214604.9090909091,204926,21,21,34011
2014,Essex,013,North,261,205448456,787158.8352490421,675000,1,1,34013
2014,Gloucester,015,South,451,134736589,298750.75166297116,288705,18,18,34015
2014,Hudson,017,North,327,242433665,741387.3547400612,620000,3,2,34017
2014,Hunterdon,019,Central,77,45987897,597245.4155844155,596492,7,5,34019
2014,Mercer,021,Central,176,108028864,613800.3636363636,435000,6,10,34021
2014,Middlesex,023,Central,907,431585450,475838.42337375967,475000,11,8,34023
2014,Monmouth,025,Central,1046,547535930,523456.9120458891,423150.5,10,11,34025
2014,Morris,027,North,379,259442078,684543.7414248021,599000,4,4,34027
2014,Ocean,029,Central,2052,778238898,379258.72222222225,345000,16,14,34029
2014,Passaic,031,North,197,85452859,433770.8578680203,420000,13,12,34031
2014,Salem,033,South,12,3197074,266422.8333333333,262272.5,20,20,34033
2014,Somerset,035,Central,467,269302787,576665.4967880086,539900,8,7,34035
2014,Sussex,037,North,101,39886037,394911.2574257426,316000,14,15,34037
2014,Union,039,North,193,119011320,616638.9637305699,569900,5,6,34039
2014,Warren,041,North,92,28470754,309464.7173913043,311465,17,16,34041
2015,Atlantic,001,South,743,307256410,413534.8721399731,305331,16,18,34001
2015,Bergen,003,North,840,675247771,803866.3940476191,603750,1,2,34003
2015,Burlington,005,South,574,252875367,440549.41986062715,401888,15,12,34005
2015,Camden,007,South,422,139003235,329391.55213270144,289995,19,19,34007
2015,Cape May,009,South,744,445699328,599058.2365591398,480625,6,7,34009
2015,Cumberland,011,South,292,75044418,257001.4315068493,246828,21,21,34011
2015,Essex,013,North,661,376691847,569881.7655068078,439000,9,9,34013
2015,Gloucester,015,South,841,286803275,341026.48632580263,319703,18,17,34015
2015,Hudson,017,North,2619,1506203748,575106.4329896907,530000,8,3,34017
2015,Hunterdon,019,Central,106,66497226,627332.320754717,605000,5,1,34019
2015,Mercer,021,Central,363,211277377,582031.3415977962,415506,7,11,34021
2015,Middlesex,023,Central,1075,481204673,447632.25395348837,434900,13,10,34023
2015,Monmouth,025,Central,967,655820287,678200.917269907,521250,3,5,34025
2015,Morris,027,North,547,394678222,721532.3985374771,484800,2,6,34027
2015,Ocean,029,Central,1512,672252732,444611.59523809527,389950,14,13,34029
2015,Passaic,031,North,386,157216848,407297.5336787565,379900,17,15,34031
2015,Salem,033,South,48,15589740,324786.25,260144,20,20,34033
2015,Somerset,035,Central,418,263396889,630136.0980861244,524464,4,4,34035
2015,Sussex,037,North,140,63450790,453219.9285714286,382750,11,14,34037
2015,Union,039,North,463,225052774,486075.1058315335,350000,10,16,34039
2015,Warren,041,North,80,36206811,452585.1375,474750,12,8,34041
2016,Atlantic,001,South,743,307256410,413534.8721399731,305331,16,18,34001
2016,Bergen,003,North,840,675247771,803866.3940476191,603750,1,2,34003
2016,Burlington,005,South,574,252875367,440549.41986062715,401888,15,12,34005
2016,Camden,007,South,422,139003235,329391.55213270144,289995,19,19,34007
2016,Cape May,009,South,744,445699328,599058.2365591398,480625,6,7,34009
2016,Cumberland,011,South,292,75044418,257001.4315068493,246828,21,21,34011
2016,Essex,013,North,661,376691847,569881.7655068078,439000,9,9,34013
2016,Gloucester,015,South,841,286803275,341026.48632580263,319703,18,17,34015
2016,Hudson,017,North,2619,1506203748,575106.4329896907,530000,8,3,34017
2016,Hunterdon,019,Central,106,66497226,627332.320754717,605000,5,1,34019
2016,Mercer,021,Central,363,211277377,582031.3415977962,415506,7,11,34021
2016,Middlesex,023,Central,1075,481204673,447632.25395348837,434900,13,10,34023
2016,Monmouth,025,Central,967,655820287,678200.917269907,521250,3,5,34025
2016,Morris,027,North,547,394678222,721532.3985374771,484800,2,6,34027
2016,Ocean,029,Central,1512,672252732,444611.59523809527,389950,14,13,34029
2016,Passaic,031,North,386,157216848,407297.5336787565,379900,17,15,34031
2016,Salem,033,South,48,15589740,324786.25,260144,20,20,34033
2016,Somerset,035,Central,418,263396889,630136.0980861244,524464,4,4,34035
2016,Sussex,037,North,140,63450790,453219.9285714286,382750,11,14,34037
2016,Union,039,North,463,225052774,486075.1058315335,350000,10,16,34039
2016,Warren,041,North,80,36206811,452585.1375,474750,12,8,34041
2017,Atlantic,001,South,743,307256410,413534.8721399731,305331,16,18,34001
2017,Bergen,003,North,840,675247771,803866.3940476191,603750,1,2,34003
2017,Burlington,005,South,574,252875367,440549.41986062715,401888,15,12,34005
2017,Camden,007,South,422,139003235,329391.55213270144,289995,19,19,34007
2017,Cape May,009,South,744,445699328,599058.2365591398,480625,6,7,34009
2017,Cumberland,011,South,292,75044418,257001.4315068493,246828,21,21,34011
2017,Essex,013,North,661,376691847,569881.7655068078,439000,9,9,34013
2017,Gloucester,015,South,841,286803275,341026.48632580263,319703,18,17,34015
2017,Hudson,017,North,2619,1506203748,575106.4329896907,530000,8,3,34017
2017,Hunterdon,019,Central,106,66497226,627332.320754717,605000,5,1,34019
2017,Mercer,021,Central,363,211277377,582031.3415977962,415506,7,11,34021
2017,Middlesex,023,Central,1075,481204673,447632.25395348837,434900,13,10,34023
2017,Monmouth,025,Central,967,655820287,678200.917269907,521250,3,5,34025
2017,Morris,027,North,547,394678222,721532.3985374771,484800,2,6,34027
2017,Ocean,029,Central,1512,672252732,444611.59523809527,389950,14,13,34029
2017,Passaic,031,North,386,157216848,407297.5336787565,379900,17,15,34031
2017,Salem,033,South,48,15589740,324786.25,260144,20,20,34033
2017,Somerset,035,Central,418,263396889,630136.0980861244,524464,4,4,34035
2017,Sussex,037,North,140,63450790,453219.9285714286,382750,11,14,34037
2017,Union,039,North,463,225052774,486075.1058315335,350000,10,16,34039
2017,Warren,041,North,80,36206811,452585.1375,474750,12,8,34041
2018,Atlantic,001,South,743,307256410,413534.8721399731,305331,16,18,34001
2018,Bergen,003,North,840,675247771,803866.3940476191,603750,1,2,34003
2018,Burlington,005,South,574,252875367,440549.41986062715,401888,15,12,34005
2018,Camden,007,South,422,139003235,329391.55213270144,289995,19,19,34007
2018,Cape May,009,South,744,445699328,599058.2365591398,480625,6,7,34009
2018,Cumberland,011,South,292,75044418,257001.4315068493,246828,21,21,34011
2018,Essex,013,North,661,376691847,569881.7655068078,439000,9,9,34013
2018,Gloucester,015,South,841,286803275,341026.48632580263,319703,18,17,34015
2018,Hudson,017,North,2619,1506203748,575106.4329896907,530000,8,3,34017
2018,Hunterdon,019,Central,106,66497226,627332.320754717,605000,5,1,34019
